Item Name,Category,Volume (ft³),Requires Photo,Requires Crate,Auto Packaging
BARFRIDGE,Appliances,8.5,No,No,Wrapping
BOXES,Appliances,4.25,No,No,None
COFFEE MACHINE,Appliances,8.5,No,No,STOCK BOX
DEEP FREEZE,Appliances,42.5,No,No,None
DISHWASHER,Appliances,25.5,No,No,Wrapping
FRIDGE D DOOR,Appliances,42.5,No,No,Wrapping
FRIDGE DOUBLE UPRIGHT,Appliances,42.5,No,No,Wrapping
FRIDGE LARGE S DOOR,Appliances,34,No,No,Wrapping
GAS HEATER,Appliances,8,No,No,None
HUGE GAS HEATERS,Appliances,51,No,No,None
KITCHEN CUPBOARD DRAWER,Appliances,5.0,No,No,None
LONG KITCHEN CABINET,Appliances,30.0,No,No,None
MICROWAVE OVEN,Appliances,4.25,No,No,Wrapping
OIL HEATER,Appliances,4.25,No,No,None
SMALL FRIDGE,Appliances,25.5,No,No,Wrapping
TUMBLE DRYER,Appliances,25.5,No,No,Wrapping
VACUUM CLEANER,Appliances,8,No,No,None
WASHING MACHINE,Appliances,25.5,No,No,Wrapping
WATER COOLER,Appliances,17,No,No,None
BABYCOT,Bedrooms,25.5,No,No,None
BOXES,Bedrooms,4.25,No,No,None
BUNK BEDS SINGLE,Bedrooms,51,No,No,Plastic Covers
CAMP COT,Bedrooms,8.0,No,No,None
CHEST OF DRAWERS,Bedrooms,17,No,No,Wrapping
CHEVAL MIRROR,Bedrooms,5.0,No,No,Wrapping
COMPACTUM,Bedrooms,34,No,No,None
D BED HEADBOARD,Bedrooms,17,No,No,Wrapping
DESK,Bedrooms,26.0,No,No,None
DOUBLE BED BASE,Bedrooms,56,No,No,Plastic Covers
DOUBLE BED BASE & MATTRESS,Bedrooms,40.0,No,No,None
DOUBLE BED HEADBOARD,Bedrooms,15.0,No,No,None
DOUBLE BED MATTRESS,Bedrooms,33,No,No,Plastic Covers
DOUBLE BED METAL SPRING,Bedrooms,25.0,No,No,None
DOUBLE BUNK BED,Bedrooms,68.0,No,No,None
DRESSING TABLE/STOOL,Bedrooms,34,No,No,Wrapping
DUMB VALET,Bedrooms,5,No,No,None
KING HEADBOARD,Bedrooms,34.0,No,No,None
KING MATTRESS BED & BASE,Bedrooms,60.0,No,No,None
KING SIZE BED BASE,Bedrooms,34,No,No,None
KING SIZE BED Mattress,Bedrooms,34,No,No,None
LONG OTTOMAN,Bedrooms,8.0,No,No,None
LOVE COUCH,Bedrooms,17.0,No,No,None
MIRROR (LARGE),Bedrooms,5,No,No,Wrapping
OFFICE CHAIR,Bedrooms,8.5,No,No,None
PEDESTALS,Bedrooms,5.1,No,No,None
PEDESTALS,Bedrooms,5.1,No,No,None
PRAM,Bedrooms,5.1,No,No,None
QUEEN BED BASE,Bedrooms,28,No,No,Plastic Covers
QUEEN BED MATTRAS,Bedrooms,28,No,No,Plastic Covers
QUEEN MATTRESS BED & BASE,Bedrooms,50.0,No,No,None
SIDE TABLE,Bedrooms,5.1,No,No,None
SINGLE BED BASE,Bedrooms,23,No,No,Plastic Covers
SINGLE BED BASE & MATTRESS,Bedrooms,30.0,No,No,None
SINGLE BED HEADBOARD,Bedrooms,8.5,No,No,None
SINGLE BED MATTRASS,Bedrooms,23,No,No,Plastic Covers
SINGLE BED STEEL FRAME,Bedrooms,20.0,No,No,None
SLEIGH DOUBLE BED,Bedrooms,73.0,No,No,None
SLEIGH KING BED,Bedrooms,85.0,No,No,None
SLEIGH QUEEN BED,Bedrooms,73.0,No,No,None
SUITCASES,Bedrooms,8.0,No,No,None
WARDROBE,Bedrooms,51,No,No,None
BAR STOOL,Boxes & Loose Items,4,No,No,None
BEDSIDE LAMP,Boxes & Loose Items,4.0,No,No,STOCK BOX
BOXES / CARTONS,Boxes & Loose Items,4.25,No,No,None
